MJD days instrument telescope band mag err delta ref
57998.979 16.450 FLAMINGOS-2 Gemini-S    Ks      20.95  0.18  0.00 2017arXiv171005436K
57998.979 16.450 FLAMINGOS-2 Gemini-S    Ks      20.32  0.08  0.00  thispaper         
57998.999 16.470 GMOS        Gemini-S    r      >21.18  0     0.00 2017arXiv171005436K
57999.979 17.450 HAWKI       VLT         Ks      20.77  0.13  0.00 2017ApJ...848L..27T
57999.989 17.460 FLAMINGOS-2 Gemini-S    Ks     >19.92  0     0.00 2017arXiv171005436K
57999.989 17.460 FLAMINGOS-2 Gemini-S    Ks      20.61  0.09  0.00 2017Natur.551...71T
58000.009 17.480 GMOS        Gemini-S    r      >21.98  0     0.00 2017arXiv171005436K
58000.960 18.431 FourStar    Magellan    Ks      20.81  0.13  0.00 2017arXiv171005443D
58000.966 18.437 EFOSC2      NTT         K       20.76  0.35  0.00 2017Natur.551...75S
58000.978 18.449 FLAMINGOS-2 Gemini-S    Ks      20.84  0.26  0.00 2017ApJ...848L..17C
58000.978 18.449 FLAMINGOS-2 Gemini-S    Ks      21.04  0.09  0.00 2017arXiv171005436K
58000.978 18.449 FLAMINGOS-2 Gemini-S    Ks      21.02  0.09  0.00  thispaper         
58000.990 18.461 FourStar    Magellan    Ks      20.93  0.17  0.00 2017arXiv171005443D
58000.999 18.470 GMOS        Gemini-S    i      >21.90  0     0.00 2017arXiv171005436K
58001.989 19.460 FLAMINGOS-2 Gemini-S    Ks      21.23  0.37  0.00 2017arXiv171005436K
58001.989 19.460 FLAMINGOS-2 Gemini-S    Ks      20.85  0.13  0.00 2017Natur.551...71T
58001.989 19.460 FLAMINGOS-2 Gemini-S    Ks      20.89  0.13  0.00  thispaper         
58001.992 19.463 VIMOS       VLT         z       23.37  0.48  0.00 2017ApJ...848L..27T
58002.979 20.450 FLAMINGOS-2 Gemini-S    H      >21.22  0     0.00 2017arXiv171005436K
58002.979 20.450 VISIR       VLT         J8.9   >7.42   0     0.00 2017arXiv171005436K
58003.969 21.440 HAWKI       VLT         Ks      21.46  0.08  0.00 2017ApJ...848L..27T
58003.989 21.460 FLAMINGOS-2 Gemini-S    Ks     >21.48  0     0.00 2017arXiv171005436K
58007.969 25.440 HAWKI       VLT         Ks      22.06  0.22  0.00 2017ApJ...848L..27T
58007.989 25.460 FLAMINGOS-2 Gemini-S    J      >20.21  0     0.00 2017arXiv171005436K
58010.969 28.440 FLAMINGOS-2 Gemini-S    Ks     >19.96  0     0.00 2017arXiv171005436K
58011.969 29.440 FLAMINGOS-2 Gemini-S    Ks     >20.60  0     0.00 2017arXiv171005436K
